2024-08-13 21:29:32,424 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:29:32,920 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:30:20,446 - INFO - HTTP Request: GET https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20and%20motivation&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33 "HTTP/1.1 200 OK"
2024-08-13 21:30:20,570 - INFO - Getting https://scholar.google.com/scholar?start=10&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:22,115 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=10&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:22,214 - INFO - Getting https://scholar.google.com/scholar?start=20&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:24,014 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=20&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:24,121 - INFO - Getting https://scholar.google.com/scholar?start=30&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:25,528 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=30&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:25,616 - INFO - Getting https://scholar.google.com/scholar?start=40&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:27,622 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:27,716 - INFO - Getting https://scholar.google.com/scholar?start=50&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:29,137 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:29,233 - INFO - Getting https://scholar.google.com/scholar?start=60&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:30,938 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:31,031 - INFO - Getting https://scholar.google.com/scholar?start=70&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:33,060 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:33,195 - INFO - Getting https://scholar.google.com/scholar?start=80&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:34,796 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:34,887 - INFO - Getting https://scholar.google.com/scholar?start=90&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:36,484 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=90&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:36,595 - INFO - Getting https://scholar.google.com/scholar?start=100&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:37,929 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=100&q=autonomous+learning+and+motivation&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:38,020 - INFO - Saved 100 results for query: autonomous learning and motivation
2024-08-13 21:30:38,020 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=technology-enhanced%20autonomous%20learning&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
2024-08-13 21:30:39,716 - INFO - HTTP Request: GET https://scholar.google.com/scholar?hl=en&q=technology-enhanced%20autonomous%20learning&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33 "HTTP/1.1 200 OK"
2024-08-13 21:30:39,949 - INFO - Getting https://scholar.google.com/scholar?start=10&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:41,697 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=10&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:41,787 - INFO - Getting https://scholar.google.com/scholar?start=20&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:43,996 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=20&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:44,097 - INFO - Getting https://scholar.google.com/scholar?start=30&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:45,641 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=30&q=technology-enhanced+autonomous+learning&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
